parameterset,datensatz,filter,w,s,norm,ddtw,interval_type,interval_param,functionals,max_landmark_diff,n_landmarks,n_intervals,ref_match_normiert,dmatch_dfit_normiert,overall
0,nanofocus,0,inf,1,euclidean,False,,,,,,,0.454258679093523,0.895072698787291,1.34933137788081
1,nanofocus,0,inf,1.05,euclidean,False,,,,,,,0.994835460975959,0.479569502055347,1.47440496303131
2,nanofocus,0,inf,1.1,euclidean,False,,,,,,,0.994582482764928,0.317394232374561,1.31197671513949
3,nanofocus,0,inf,1.15,euclidean,False,,,,,,,1.00334573772058,0.272279502086517,1.2756252398071
4,nanofocus,0,inf,1.2,euclidean,False,,,,,,,1.00376429998637,0.27133583013385,1.27510013012022
5,nanofocus,0,30,1,euclidean,False,,,,,,,0.454258679093523,0.895072698787291,1.34933137788081
6,nanofocus,0,30,1.05,euclidean,False,,,,,,,0.994835460975959,0.479569502055347,1.47440496303131
7,nanofocus,0,30,1.1,euclidean,False,,,,,,,0.994582482764928,0.317394232374561,1.31197671513949
8,nanofocus,0,30,1.15,euclidean,False,,,,,,,1.00334573772058,0.272279502086517,1.2756252398071
9,nanofocus,0,30,1.2,euclidean,False,,,,,,,1.00376429998637,0.27133583013385,1.27510013012022
10,nanofocus,0,25,1,euclidean,False,,,,,,,0.454258679093523,0.895072698787291,1.34933137788081
11,nanofocus,0,25,1.05,euclidean,False,,,,,,,0.994835460975959,0.479569502055347,1.47440496303131
12,nanofocus,0,25,1.1,euclidean,False,,,,,,,0.994582482764928,0.317394232374561,1.31197671513949
13,nanofocus,0,25,1.15,euclidean,False,,,,,,,1.00334573772058,0.272279502086517,1.2756252398071
14,nanofocus,0,25,1.2,euclidean,False,,,,,,,1.00376429998637,0.27133583013385,1.27510013012022
15,nanofocus,0,20,1,euclidean,False,,,,,,,0.454492355169748,0.894985276035203,1.34947763120495
16,nanofocus,0,20,1.05,euclidean,False,,,,,,,0.994835460975959,0.479569502055347,1.47440496303131
17,nanofocus,0,20,1.1,euclidean,False,,,,,,,0.994582482764928,0.317394232374561,1.31197671513949
18,nanofocus,0,20,1.15,euclidean,False,,,,,,,1.00334573772058,0.272279502086517,1.2756252398071
19,nanofocus,0,20,1.2,euclidean,False,,,,,,,1.00376429998637,0.27133583013385,1.27510013012022
20,nanofocus,0,15,1,euclidean,False,,,,,,,0.457200127079508,0.894704911471091,1.3519050385506
21,nanofocus,0,15,1.05,euclidean,False,,,,,,,0.994835460975959,0.479569502055347,1.47440496303131
22,nanofocus,0,15,1.1,euclidean,False,,,,,,,0.994582482764928,0.317394232374561,1.31197671513949
23,nanofocus,0,15,1.15,euclidean,False,,,,,,,1.00334573772058,0.272279502086517,1.2756252398071
24,nanofocus,0,15,1.2,euclidean,False,,,,,,,1.00376429998637,0.27133583013385,1.27510013012022
25,nanofocus,0,10,1,euclidean,False,,,,,,,0.477418108020107,0.912466875712057,1.38988498373216
26,nanofocus,0,10,1.05,euclidean,False,,,,,,,0.994835460975959,0.479569502055347,1.47440496303131
27,nanofocus,0,10,1.1,euclidean,False,,,,,,,0.994582482764928,0.317394232374561,1.31197671513949
28,nanofocus,0,10,1.15,euclidean,False,,,,,,,1.00334573772058,0.272279502086517,1.2756252398071
29,nanofocus,0,10,1.2,euclidean,False,,,,,,,1.00376429998637,0.27133583013385,1.27510013012022
30,nanofocus,0,5,1,euclidean,False,,,,,,,0.560243440032081,0.913523103445118,1.4737665434772
31,nanofocus,0,5,1.05,euclidean,False,,,,,,,0.994881585290665,0.479020144884651,1.47390173017532
32,nanofocus,0,5,1.1,euclidean,False,,,,,,,0.994664541720163,0.316544954850231,1.31120949657039
33,nanofocus,0,5,1.15,euclidean,False,,,,,,,1.00343311357304,0.271678222415867,1.2751113359889
